Code;"Meaning English";"Meaning Dutch";"Meaning French";"Meaning German";SNOMED-CT
00001;;"5 ml";"5 ml";;
00002;;amp.;amp.;;
00003;;applic.;applic.;;
00004;;caps.;caps.;;
00005;;compr.;compr.;;
00006;;dose;dosis;;
00007;;gouttes;druppels;;
00008;;flac.;flac.;;
00009;;implant.;implant;;
00010;;perf.;infuus;;
00011;;inhal.;inhal.;;
00012;;insert;insert;;
00013;;gommes;kauwgom;;
00014;;compres(ses);kompres(sen);;
00015;;lav.;lav.;;
00016;;ml;ml;;
00017;;ov.;ov.;;
00018;;perle(s);parel(s);;
00019;;past.;past.;;
00020;;patch;patch;;
00021;;cart.;patr.;;
00022;;stylo;pen;;
00023;;puff(s);puff(s);;
00024;;éponge;spons;;
00025;;stylo;stylo;;
00026;;suppo;suppo;;
00027;;tube;tube;;
00028;;mèche;wiek;;
00029;;sac;zak;;
00030;;sachet(s);zakje(s);;
cm;centimeter;;centimètre;;
dropsperminute;"drops per minute";"druppels per minuut";"goutes par minute";;
gm;gram;gram;gramme;;
internationalunits;"international units";"internationale eenheden";"unités internationales";;
mck/h;"microgram per hour";"microgram per uur";"microgramme par heure";;
mck/kg/minute;"microgram per kilogram per minute";"microgram per kilogram per minuut";"microgramme par kilogramme par minute";;
measure;measure;maatje;mesure;;
mg/h;"milligram per hour";"milligram per uur";"milligramme par heure";;
ml/h;"milliliter per hour";"milliliter per uur";"millilitre pa heure";;
tbl;tablespoon;eetlepel;"cuillère à soupe";;
tsp;teaspoon;dessertlepe;"cuillère à café";;
unt/h;"units per hour";"eenheden per uur";"unités par heure";;
mg;milligram;;;;
mg/ml;"milligram per milliliter";;;;
