Code;"Meaning English";"Meaning Dutch";"Meaning French";"Meaning German";SNOMED-CT
00001;;auric.;auric.;;
00002;;derm.;derm.;;
00003;;derm./rect.;derm./rect.;;
00004;;derm./vag.;derm./vag.;;
00005;;p.dur.;e.dur.;;
00006;;p.dur./i.théc./local;e.dur./i.thec./lokaal;;
00007;;p.dur./local;e.dur./lokaal;;
00008;;e.trach.;e.trach.;;
00009;;endocerv.;endocerv.;;
00010;;i.artér.;i.arter.;;
00011;;i.cavern.;i.cavern.;;
00012;;i.derm.;i.derm.;;
00013;;i.m.;i.m.;;
00014;;i.m./i.théc./p.dur./s.c.;i.m./i.thec./e.dur./s.c.;;
00015;;i.m./i.v.;i.m./i.v.;;
00016;;i.m./i.v./perf.;i.m./i.v./inf.;;
00017;;i.m./i.v./perf./p.dur./s.c.;i.m./i.v./inf./e.dur./s.c.;;
00018;;i.m./i.v./perf./i.artér./i.théc.;i.m./i.v./inf./i.arter./i.thec.;;
00019;;i.m./i.v./perf./i.artér./local/s.c.;i.m./i.v./inf./i.arter./lokaal/s.c.;;
00020;;i.m./i.v./perf./i.théc.;i.m./i.v./inf./i.thec.;;
00021;;i.m./i.v./perf./rect.;i.m./i.v./inf./rect.;;
00022;;i.m./i.v./perf./s.c.;i.m./i.v./inf./s.c.;;
00023;;i.m./i.v./inhal.;i.m./i.v./inhal.;;
00024;;i.m./i.v./local;i.m./i.v./lokaal;;
00025;;i.m./i.v./or.;i.m./i.v./or.;;
00026;;i.m./i.v./rect.;i.m./i.v./rect.;;
00027;;i.m./i.v./s.c.;i.m./i.v./s.c.;;
00028;;i.m./perf.;i.m./inf.;;
00029;;i.m./perf./local;i.m./inf./lokaal;;
00030;;i.m./local;i.m./lokaal;;
00031;;i.m./rect./local;i.m./lokaal/rect.;;
00032;;i.m./s.c.;i.m./s.c.;;
00033;;i.théc.;i.thec.;;
00034;;i.ut.;i.ut.;;
00035;;i.v.;i.v.;;
00036;;i.v./p.dur./local;i.v./e.dur./lokaal;;
00037;;i.v./i.artér./i.vés.;i.v./i.arter./i.ves.;;
00038;;i.v./inf.;i.v./perf.;;
00039;;i.v./inf./e.dur.;i.v./perf./p.dur.;;
00040;;i.v./inf./i.arter.;i.v./perf./i.artér.;;
00041;;i.v./inf./i.thec./s.c.;i.v./perf./i.théc./s.c.;;
00042;;i.v./inf./inhal.;i.v./perf./inhal.;;
00043;;i.v./inf./s.c.;i.v./perf./s.c.;;
00044;;i.v./s.c.;i.v./s.c.;;
00045;;i.ves.;i.vés.;;
00046;;inf.;perf.;;
00047;;inf./i.ves.;perf./i.vés.;;
00048;;inf./s.c.;perf./s.c.;;
00049;;inhal.;inhal.;;
00050;;inhal./nas./lokaal;inhal./nas./local;;
00051;;inj.;inj.;;
00052;;lip;lèvre;;
00053;;lokaal;local;;
00054;;muc.;muc.;;
00055;;nas.;nas.;;
00056;;oft.;opht.;;
00057;;oft./auric.;opht./auric.;;
00058;;oft./auric./nas.;opht./auric./nas.;;
00059;;oft./auric./nas./lokaal;opht./auric./nas./local;;
00060;;or.;or.;;
00061;;or./orofar./derm.;or./bucco-phar./derm.;;
00062;;or./rect.;or./rect.;;
00063;;or./s.l.;or./s.l.;;
00064;;orofar.;bucco-phar.;;
00065;;orofar./derm.;bucco-phar./derm.;;
00066;;orofar./nas.;bucco-phar./nas.;;
00067;;rect.;rect.;;
00068;;s.c.;s.c.;;
00069;;s.c./i.derm.;s.c./i.derm.;;
00070;;s.l.;s.l.;;
00071;;tand;dents;;
00072;;urethr.;urethr.;;
00073;;vag.;vag.;;
