Code;"Meaning English";"Meaning Dutch";"Meaning French";"Meaning German";SNOMED-CT
UH;"Per half hour";"Per half uur";"Par demi heure";"Pro halbe Stunde";
U;"Per hour";"Per uur";"Par heure";"Pro Uhr";
UT;"Per 2 hours";"Per 2 uur";"Par 2 heures";"Pro 2 Uhren";
UD;"Per 3 hours";"Per 3 uur";"Par 3 heures";"Pro 3 Uhren";
UV;"Per 4 hours";"Per 4 uur";"Par 4 heures";"Pro 4 Uhren";
UQ;"Per 5 hours";"Per 5 uur";"Par 5 heures";"Pro 5 Uhren";
UZ;"Per 6 hours";"Per 6 uur";"Par 6 heures";"Pro 6 Uhren";
US;"Per 7 hours";"Per 7 uur";"Par 7 heures";"Pro 7 Uhren";
UA;"Per 8 hours";"Per 8 uur";"Par 8 heures";"Pro 8 Uhren";
UN;"Per 9 hours";"Per 9 uur";"Par 9 heures";"Pro 9 Uhren";
UX;"Per 10 hours";"Per 10 uur";"Par 10 heures";"Pro 10 Uhren";
UE;"Per11 hours";"Per 11 uur";"Par 11 heures";"Pro 11 Uhren";
UW;"Per 12 hours";"Per 12 uur";"Par 12 heures";"Pro 12 Uhren";
D;"Per day";"Per dag";"Par jour";"Pro Tag";
DT;"Per 2 days";"Per 2 dagen";"Par 2 jours";"Pro 2 Tagen";
O1;"Every 2 days";"om de dag";"tout les 2 jours";"Jeden 2 Tagen";
DD;"Per 3 days";"Per 3 dagen";"par 3 jours";"Pro 3 Tagen";
DV;"Per 4 days";"Per 4 dagen";"Par 4 jours";"Pro 4 Tagen";
DQ;"Per 5 days";"Per 5 dagen";"Par 5 jours";"Pro 5 Tagen";
DZ;"Per 6 days";"Per 6 dagen";"Par 6 jours";"Pro 6 Tagen";
W;"Per 7 days";"Per week";"Par semaine";"Pro Woche";
DA;"Per 8 days";"Per 8 dagen";"Par 8 jours";"Pro 8 Tagen";
DN;"Per 9 days";"Per 9 dagen";"Par 9 jours";"Pro 9 Tagen";
DX;"Per 10 days";"Per 10 dagen";"Par 10 jours";"Pro 10 Tagen";
DE;"Per 11 days";"Per 11 dagen";"Par 11 jours";"Pro 11 Tagen";
DW;"Per 12 days";"Per 12 dagen";"Par 12 jours";"Pro 12 Tagen";
WT;"Per 2 weeks";"Per 2 weken";"Par 2 semaines";"Pro 2 Wochen";
WD;"Per 3 weeks";"Per 3 weken";"Par 3 semaines";"Pro 3 Wochen";
WV;"Per 4 weeks";"Per 4 weken";"Par 4 semaines";"Pro 4 Wochen";
M;"Per month";"Per maand";"Par mois";"Pro Monat";
WQ;"Per 5 weeks";"Per 5 weken";"Par 5 semaines";"Pro 5 Wochen";
WZ;"Per 6 weeks";"Per 6 weken";"Par 6 semaines";"Pro 6 Wochen";
WS;"Per 7 weeks";"Per 7 weken";"Par 7 semaines";"Pro 7 Wochen";
WA;"Per 8 weeks";"Per 8 weken";"Par 8 semaines";"Pro 8 Wochen";
MT;"Per 2 months";"Per 2 maanden";"Par 2 mois";"Pro 2 Monaten";
WN;"Per 9 weeks";"Per 9 weken";"Par 9 semaines";"Pro 9 Wochen";
WX;"Per 10 weeks";"Per 10 weken";"Par 10 semaines";"Pro 10 Wochen";
WE;"Per 11 weeks";"Per 11 weken";"Par 11 semaines";"Pro 11 Wochen";
WW;"Per 12 weeks";"Per 12 weken";"Par 12 semaines";"Pro 12 Wochen";
MD;"Per 3 months";"Per 3 maanden";"Par 3 mois";"Pro 3 Monaten";
MV;"Per 4 months";"Per 4 maanden";"Par 4 mois";"Pro 4 Monaten";
MQ;"Per 5 months";"Per 5 maanden";"Par 5 mois";"Pro 5 Monaten";
WP;"Per 24 weeks";"Per 24 weken";"Par 24 semaines";"Pro 24 Wochen";
JH2;"Per half year";"Per half jaar";"Par demi amée";"Pro halbes Jahre";
MZ2;"Per 6 months";"Per 6 maanden";"Par 6 mois";"Pro 6 Monaten";
MS;"Per 7 months";"Per 7 maanden";"Par 7 mois";"Pro 7 Monaten";
MA;"Per 8 months";"Per 8 maanden";"Par 8 mois";"Pro 8 Monaten";
MN;"Per 9 months";"Per 9 maanden";"Par 9 mois";"Pro 9 Monaten";
MX;"Per 10 months";"Per 10 maanden";"Par 10 mois";"Pro 10 Monaten";
ME;"Per 11 months";"Per 11 maanden";"Par 11 mois";"Pro 11 Monaten";
J;"Per Year";"Per jaar";"Par an";"Pro Jahre";
MC;"Per 18 months";"Per 18 maanden";"Par 18 mois";"Pro 18 Monaten";
JT;"Per 2 years";"Per 2 jaar";"Par 2 années";"Pro 2 Jahren";
JD;"Per 3 years";"Per 3 jaar";"Par 3 années";"Pro 3 Jahren";
JV;"Per 4 years";"Per 4 jaar";"Par 4 années";"Pro 4 Jahren";
JQ;"Per 5 years";"Per 5 jaar";"Par 5 années";"Pro 5 Jahren";
JZ;"Per 6 years";"Per 6 jaar";"Par 6 années";"Pro 6 Jahren";
ondemand;"On demand";"Op aanvraag";;"auf Nachfrage";
