Code;Meaning English;Meaning Dutch;Meaning French;Meaning German;SNOMED-CT
admission;Admission notification;;;;
alert;Alert;;;;
contactreport;Contact report;;;;
death;Death notification;;;;
discharge;Discharge notification;;;;
dischargereport;Discharge letter;;;;
epidemiology;Epidemiological survey;;;;
labrequest;Laboratory test request;;;;
labresult;Laboratory result;;;;
note;Note;;;;
pharmaceuticalprescription;Pharmaceutical prescription;;;;
productdelivery;Pharmaceutical product delivery;;;;
quickdischargereport;Provisional discharge letter;;;;
referral;Referral letter;;;;
request;Procedure request;;;;
result;Procedure result;;;;
vaccination;Vaccination report;;;;
sumehr;Summerised Electronic Healthcare Record;;;;
ecare-safe-consultation;eCare-SAFE consultation;;;;
ebirth-mother-notification;eBirth notification- mother part;;;;
ebirth-baby-notification;eBirth notification- baby part;;;;
ebirth-baby-medicalform;eBirth medical form - baby part;;;;
ebirth-mother-medicalform;eBirth medical form - mother part;;;;
clinicalsummary;Clinical summary (part of GP software migration file);;;;
bvt-sample;BVT Sample (part of BCR Biobank project);;;;
medicaladvisoragreement;Medical Advisor Agreement (eg. Chapter IV);;;;
intervention;Intervention (TucoDeclaration);;;;
clinicalpath;Clinical path (Hub-Metahub);;;;
telemonitoring;Tele monitoring (Hub-Metahub);;;;
radiationexposuremonitoring;Radiation exposure monitoring (Hub-Metahub);;;;
medicationschemeelement;Medication scheme element (Vitalink);;;;
treatmentsuspension;Treatment suspension (Vitalink);;;;
prescription;Prescription;;;;
notification;Notification;;;;
report;Report;;;;
medicationscheme;Medication scheme;;;;
vaccinationscheme;Vaccination scheme;;;;
vaccinationschemeelement;Vaccination scheme element;;;;
ecare-tardis-consultation;eCare-SAFE tardis consultation;;;;
genericregistryentry;Generic registry entry;;;;
population-based-screening;Population based screening (Vitalink);Screening bij bevolking (Vitalink);Recherche sur la population (Vitalink);;
child-prevention;Child prevention (Vitalink);Kinder preventie (Vitalink);Prévention enfants (Vitalink);;
applicationlink;Link to invoke an external application;Link om externe toepassing aan te roepen;Lien pour démarrer une application externe;;
careplan;Careplan;Zorgplan;Plan de soins;;
diarynote;diarynote;dagboeknota;note dans le journal;Journalnotiz;
mea;Medical emergency attestation (PPS-SI);Attest van dringende medische hulp (POD-MI);Attestation d'aide médicale urgente (SPP-IS);Zertifikat Notfallmedizin (OPD-S);
perinatal;perinatal dataset;perinatale dataset;dataset périnatal;Perinatales Datensatz;
